SMM131 Innovation in Organisations,SMM131,BBMSCB
HMM000 Health Management Open Forum,HMM000,HAHM
HMM023 Marketing in Healthcare,HMM023,HAHM
HSM001 Relationship-Centered Care,HSM001,HNSONM
HSM101 Engaging in Practice 1: Introducing Clinical Practice,HSM101,HNSONM
HSM132 Experiencing Acute Care, Diagnostics & Treatment (Adult),HSM132,HNSONM
HSM232 Core Biological Principles Relating to Pathophysiology and Therapeutics in Children's Nursing,HSM232,HNSONM
SMM135 Intellectual Property Management,SMM135,BBMSCB
MA2204 Mathematics for Economists Post GCSE 3,MA2204,SSECON
EE2513 Engineering Materials,EE2513,EESEMS
EE3420 Technology Entrepreneurship,EE3420,EESEMS
EE3462 Corporate Social Responsibility,EE3462,EESEMS
Prof. Empson's Colloquium 2013,PEC,MARCOMCASS
SMM132 Project Management for Professional Practice,SMM132,BBMSCB
HS2002 Developing Clinical Practice,HS2002,HNSONM
HSM301 Engaging in practice 3,HSM301,HNSONM
HSM043 Experiencing Long Term Care: Rehabilitation & Recovery,HSM043,HNSONM
HSM051 Leading & Managing in Health Care Practice,HSM051,HNSONM
IN2015p Professional Development in IT,IN2015p,IISOIN
SMM686 Real Estate Fund Management,SMM686,BBMSCB
AF1/1/3xxx Careers talk,AF yrs 123,BBUGPR
HS1011 Foundations of Relationship-Centred Practice,HS1011,HNSONM
HS1012 Relating Social Sciences to Healthy Communities,HS1012,HNSONM
HS1002 Simulating Practice: Introducing Clinical Practice,HS1002,HNSONM
HS1021 Developing Relationship-Centered Practice,HS1021,HNSONM
HS1022 Valuing Health & Social Care across the Lifecourse,HS1022,HNSONM
HS1023 Understanding Concepts of Biology for Health,HS1023,HNSONM
CS1223 How to Write Serial Drama for TV,CS1223,AACONT
IPM020 International Financial Institutions,IPM020,SSIPOL
IPM021 Strategy, Diplomacy and Decision-Making,IPM021,SSIPOL
SMM685 Sustainability in Real Estate,SMM685,BBMSCB
MS1xxx SmartWisdom,MS1xxx SW,BBUGPR
Media/Sociology Guest Speaker Series,GUESTMED,SSSOCL
SMM925 Social Insurance in Emerging Markets,SMM925,BBMSCB
ECM235 Development Economics,ECM235,SSECON
**LA0030 French Upper Intermediate,%23SPLUS15EC2F,BBUGPR
Cass PRIME OP,Cass Exec,BBEXEC
SMM594 Econometric Modelling,SMM594,BBMSCB
EPM404 Principles of Transport Systems,EPM404,EESEMS
INM363 Individual Project,INM363,IISOIN
EPM407 Transport Strategy & Policy,EPM407,EESEMS
APM011 Critical thinking and diagnostic reasoning across the lifespan - neonate,APM011,HNSONM
EPM413 Transport & Law,EPM413,EESEMS
EPM412 Resilience & Security,EPM412,EESEMS
z/SMMxxx IAF Tests/Term 2,%23SPLUS241DBE,BBMSCB
SMM986 Research Methods in Management 3,SMM986,BBCASS
EPM410 Research Methods & Professional Skills,EPM410,EESEMS
APM005 Evidence-based psychosocial interventions in mental health,APM005,HNSONM
MBM172 Leading in a High Risk World FTMBA,MBM172,BBMBAB
SMMxxx Guest Lecture/FIN,Guest Lecture MSc FIN,BBMSCB
MBM316 Global Real Estate Markets FTMBA,MBM316,BBMBAB
SMM944 Corporate Finance Theory/PhD,SMM944 PhD,BBCASS
MBM555 Corporate Reputation Management FTMBA,%23SPLUSAEB750,BBMBAB
MBM600 Storytelling in Business FTMBA,MBM600,BBMBAB
MBM129 Leadership FTMBA,MBM129,BBMBAB
ME3101 Mechatronics,ME3101,EESEMS
CS2604 Advanced Web Interfaces with CSS3 and HTML5,CS2604,AACONT
CS1006 Doing Business with China - Language and Culture,CS1006,AACONT
EPM970 Accident & Incident Investigation,EPM970,EESEMS
MBM113 Consulting to Management FTMBA,MBM113,BBMBAB
MBM559 Digital Marketing FTMBA,MBM559 FTMBA,BBMBAB
SMM136 Introduction to Banking,SMM136,BBMSCB
